timestamp,department,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
2026-01-11T16:21:36.005691,Information Technology,9,8,8,5,5,5,2,8,9,3,8,9,3,8,3
2026-01-11T16:21:47.563734,Commercial Reporting & BI,10,3,2,1,8,2,8,2,8,7,2,8,10,7,2
2026-01-11T16:21:52.837027,Commercial Reporting & BI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:21:57.965692,Customer Invoicing,9,2,7,6,2,9,2,9,2,10,1,10,3,7,3
2026-01-11T16:22:10.972994,Customer Invoicing,9,1,9,2,3,1,1,2,2,1,8,8,3,9,1
2026-01-11T16:22:23.938030,OVA,8,1,6,3,9,3,9,3,10,10,10,9,9,10,8
2026-01-11T16:22:38.412597,Finance & Accounting,1,1,9,1,9,2,9,2,9,2,9,9,5,10,9
2026-01-11T16:22:43.463866,"Documentation, Pricing & Legal",2,9,9,3,9,3,9,3,9,2,9,9,9,3,7
2026-01-11T16:23:08.798104,OVA,10,7,2,3,8,2,9,4,6,1,1,10,1,2,2
2026-01-11T16:23:29.757781,Commercial Reporting & BI,10,10,10,10,9,8,10,10,9,9,9,7,7,10,10
2026-01-11T16:23:31.205990,Finance & Accounting,3,3,8,4,8,9,3,5,6,3,8,9,4,7,8
2026-01-11T16:23:48.469293,Customer Invoicing,3,7,8,4,7,4,7,3,3,8,3,8,9,3,8
2026-01-11T16:24:11.629645,Finance & Accounting,2,7,8,9,9,9,9,2,2,2,8,8,3,8,8
2026-01-11T16:24:15.673095,Information Technology,9,4,9,3,7,6,6,4,5,8,3,7,3,8,4
2026-01-11T16:24:33.939804,Commercial Reporting & BI,9,9,3,6,8,3,2,1,3,2,8,3,7,3,8
2026-01-11T16:24:35.765892,OVA,8,4,7,5,8,6,4,7,4,9,3,9,2,6,4
2026-01-11T16:25:04.279184,Information Technology,3,8,3,9,3,8,4,8,4,6,4,8,4,4,4
2026-01-11T16:25:04.354024,"Documentation, Pricing & Legal",7,8,9,2,2,9,8,2,2,3,9,10,8,9,3
2026-01-11T16:25:25.439611,Finance & Accounting,8,3,9,3,9,4,10,4,10,8,3,8,2,8,4
2026-01-11T16:25:46.136915,Commercial Reporting & BI,9,7,3,8,3,2,1,9,7,9,7,3,7,3,8
2026-01-11T16:25:51.401263,Information Technology,3,2,8,3,8,7,3,3,8,8,3,2,7,3,10
2026-01-11T16:26:06.201202,Finance & Accounting,8,3,9,3,9,2,9,2,10,1,10,3,8,3,8
2026-01-11T16:26:15.458423,OVA,2,2,2,3,4,7,3,7,7,3,7,6,3,6,2
2026-01-11T16:26:30.629100,"Documentation, Pricing & Legal",9,2,9,3,9,3,8,3,8,9,8,2,8,2,8
2026-01-11T16:26:51.379648,Administration,9,2,10,9,10,2,10,3,8,3,4,8,8,8,2
2026-01-11T16:26:51.900609,"Documentation, Pricing & Legal",3,3,2,3,7,3,7,8,3,10,10,1,1,1,10
2026-01-11T16:27:09.610318,OVA,8,9,9,10,9,9,9,2,3,8,9,2,8,3,9
2026-01-11T16:27:12.385841,Commercial Reporting & BI,9,2,3,1,4,8,4,7,6,2,8,9,8,1,10
2026-01-11T16:27:39.088131,OVA,9,3,10,8,5,2,9,3,8,4,6,7,9,7,4
2026-01-11T16:28:24.833237,Customer Invoicing,8,3,7,4,6,3,10,2,8,2,8,2,9,3,9
2026-01-11T16:29:17.901096,Information Technology,6,8,3,9,8,3,6,10,7,3,3,3,3,8,8
2026-01-11T16:29:35.378568,Commercial Reporting & BI,7,8,8,3,7,3,3,8,8,8,8,7,3,7,8
2026-01-11T16:29:53.763969,Administration,9,2,4,8,7,9,8,3,8,3,4,9,1,6,4
2026-01-11T16:30:15.604011,Commercial Reporting & BI,9,3,4,3,9,3,2,7,3,7,2,7,10,2,7
2026-01-11T16:30:22.591393,Commercial Reporting & BI,8,4,2,8,4,7,8,7,2,10,10,4,7,2,8
2026-01-11T16:30:45.053525,"Documentation, Pricing & Legal",3,8,4,9,8,10,10,2,8,2,8,9,2,10,9
2026-01-11T16:30:50.149846,Finance & Accounting,2,2,2,3,3,3,8,10,3,7,3,8,7,5,9
2026-01-11T16:30:59.185114,Administration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:06.868665,Finance & Accounting,2,9,2,2,1,3,8,3,8,3,2,9,2,9,2
2026-01-11T16:31:10.343683,"Documentation, Pricing & Legal",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:19.556339,Information Technology,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:26.676730,Customer Invoicing,9,1,1,1,2,9,1,10,1,7,2,8,3,8,3
2026-01-11T16:31:27.829884,Finance & Accounting,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:34.910469,Finance & Accounting,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:43.948345,Finance & Accounting,5,5,5,5,8,8,5,5,3,5,5,9,5,5,5
2026-01-11T16:31:45.381690,Information Technology,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2026-01-11T16:31:58.223192,Commercial Reporting & BI,5,5,5,5,3,5,5,2,5,5,2,5,5,2,9
2026-01-11T16:32:01.662679,"Documentation, Pricing & Legal",9,2,5,5,5,1,8,5,1,9,8,5,5,9,2
2026-01-11T16:32:14.693733,Administration,5,5,2,5,5,9,5,5,8,5,8,5,5,8,5
2026-01-11T16:35:21.835653,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2026-01-11T16:35:25.831528,Customer Invoicing,9,3,7,10,7,8,7,2,8,7,3,7,7,8,9
2026-01-11T16:35:43.153401,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:35:46.915463,Administration,8,3,7,7,7,4,8,7,10,8,7,3,8,7,8
2026-01-11T16:35:51.378783,Commercial Reporting & BI,3,7,3,2,1,1,1,2,1,1,1,1,2,1,1
2026-01-11T16:36:06.749801,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:36:25.278663,OVA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:36:35.459916,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:36:47.644613,"Documentation, Pricing & Legal",1,8,1,1,1,2,1,1,1,1,1,1,1,1,1
2026-01-11T16:37:04.850770,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:37:18.208627,Commercial Reporting & BI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:37:28.720510,OVA,1,1,1,1,1,1,1,1,1,2,1,6,1,2,2
2026-01-11T16:37:59.681648,Commercial Reporting & BI,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
2026-01-11T16:38:14.938206,Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2026-01-11T16:39:14.391308,Commercial Reporting & BI,1,3,1,2,4,2,3,2,4,2,3,2,3,2,3
2026-01-11T16:39:15.705969,Information Technology,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1
2026-01-11T16:39:31.811366,Information Technology,2,2,1,3,2,2,3,1,2,3,1,2,3,3,2
2026-01-11T16:39:39.425293,Commercial Reporting & BI,1,1,2,2,1,2,1,2,1,1,2,2,1,2,1
2026-01-11T16:39:53.223785,Commercial Reporting & BI,2,6,2,1,2,2,2,1,2,2,1,3,4,1,3
2026-01-11T16:40:16.443725,Customer Invoicing,1,1,1,5,5,1,1,1,1,1,1,2,2,2,2
2026-01-11T16:40:21.184106,OVA,7,3,2,7,1,9,2,2,3,6,4,7,3,8,2
2026-01-11T16:40:40.621027,"Documentation, Pricing & Legal",2,4,8,4,7,2,4,4,3,2,3,3,2,2,4
2026-01-11T16:40:42.133220,Commercial Reporting & BI,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2
2026-01-11T16:40:46.354035,Finance & Accounting,1,3,3,2,2,8,8,7,1,1,3,8,2,8,3
2026-01-11T16:41:00.204224,Administration,1,8,4,6,3,4,1,4,3,6,2,3,4,3,7
2026-01-11T16:41:02.846710,Information Technology,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
2026-01-11T16:41:20.098243,"Documentation, Pricing & Legal",3,2,4,3,1,4,3,2,4,2,4,2,3,1,4
2026-01-11T16:41:21.165808,Finance & Accounting,2,3,6,3,2,6,7,3,5,5,2,3,4,2,4
2026-01-11T16:41:24.221518,Administration,1,1,1,1,2,1,1,2,1,1,2,1,1,4,1
2026-01-11T16:41:44.690609,Finance & Accounting,3,4,4,2,4,3,3,6,7,8,3,7,2,4,9
2026-01-11T16:41:58.295985,Information Technology,1,1,1,1,1,1,2,1,1,1,5,1,1,3,2
2026-01-11T16:42:13.573826,Finance & Accounting,4,2,4,5,4,2,5,4,3,3,2,5,6,4,5
2026-01-11T16:42:26.095396,Information Technology,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:42:33.398073,Information Technology,3,4,2,7,6,4,7,7,3,4,8,3,7,3,4
2026-01-11T16:42:49.153326,Finance & Accounting,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1
2026-01-11T16:42:51.584849,Information Technology,3,3,8,3,7,4,4,5,1,1,3,7,3,7,3
2026-01-11T16:43:11.475189,OVA,3,4,2,8,9,3,9,2,7,3,9,3,3,8,7
2026-01-11T16:43:18.857851,"Documentation, Pricing & Legal",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2026-01-11T16:43:34.140442,Commercial Reporting & BI,7,2,2,4,9,4,10,3,8,8,3,9,3,8,9
2026-01-11T16:43:39.690026,OVA,1,2,1,1,3,2,2,1,2,2,4,1,1,2,1
2026-01-11T16:44:01.120908,Finance & Accounting,3,1,4,2,4,4,1,1,2,2,4,2,3,2,1
2026-01-11T16:44:06.739799,Information Technology,9,1,3,7,3,2,7,3,8,6,3,8,3,6,4
2026-01-11T16:44:11.939379,"Documentation, Pricing & Legal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-11T16:45:01.394993,OVA,9,7,9,8,10,8,10,7,10,7,10,9,9,2,9
2026-01-11T16:45:33.924418,Finance & Accounting,3,9,10,9,3,10,9,2,8,4,7,3,8,4,9
2026-01-11T18:57:02.037260,Information Technology,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
